74,024;968;59,412,923;6,520;23,588,148
72,744;898;158,120,942;20,537;67,167,004
78,392;1,994;426,922,289;92,320;187,331,832
635,860,924;78,514,287;25,930,771,500;291,394;10,569,726,308
704,238,219;79,158,784;77,843,410,225;335,098;33,554,671,420
1,136,689,807;93,105,002;265,829,781,566;31,980,462;117,923,575,376
4,396,781,389;547,209,567;162,580,080,170;732,867;66,294,126,308
4,560,247,819;624,216,570;489,638,592,689;880,648;211,115,071,420
4,926,933,755;835,299,429;1,682,441,123,754;199,971,575;746,498,696,296
21,111,961,856;13,525,293,251;651,009,015,227;1,522,236;265,488,126,308
21,756,632,703;14,419,459,456;1,962,723,938,221;1,982,042;846,329,071,420
24,442,697,761;17,549,567,396;6,757,899,995,171;800,306,253;2,998,683,896,296
